"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
13.600,1.38430E-4,490,0.00
13.650,1.38430E-4,490,0.00
13.700,1.38430E-4,490,0.00
13.750,1.38430E-4,490,0.00
13.800,1.38430E-4,490,0.00
13.850,1.38430E-4,491,0.00
13.900,1.38430E-4,490,0.00
13.950,1.38430E-4,490,0.00
14.000,1.38430E-4,491,0.00
14.050,1.38430E-4,490,0.00
14.100,1.38430E-4,490,0.00
14.150,1.38430E-4,490,0.00
14.200,1.38430E-4,490,0.00
14.250,1.38430E-4,490,0.00
14.300,1.38430E-4,490,0.00
14.350,1.38430E-4,490,0.00
14.400,1.38430E-4,490,0.00
14.450,1.38430E-4,491,0.00
14.500,1.38430E-4,490,0.00
14.550,1.38430E-4,490,0.00
14.600,1.38430E-4,490,0.00
14.650,1.38430E-4,490,0.00
14.700,1.38430E-4,490,0.00
14.750,1.38430E-4,491,0.00
14.800,1.38430E-4,490,0.00
14.850,1.38430E-4,489,0.00
14.900,1.38430E-4,490,0.00
14.950,1.38430E-4,489,0.00
15.000,1.38430E-4,490,0.00
15.050,1.38430E-4,489,0.00
15.100,1.38430E-4,489,0.00
15.150,1.38430E-4,490,0.00
15.200,1.38430E-4,490,0.00
15.250,1.38430E-4,490,0.00
15.300,1.38430E-4,489,0.00
15.350,1.38430E-4,489,0.00
15.400,1.38430E-4,490,0.00
15.450,1.38430E-4,490,0.00
15.500,1.38430E-4,490,0.00
15.550,1.38430E-4,490,0.00
15.600,1.38430E-4,490,0.00
15.650,1.38430E-4,489,0.00
15.700,1.38430E-4,490,0.00
15.750,1.38430E-4,489,0.00
15.800,1.38430E-4,489,0.00
15.850,1.38430E-4,489,0.00
15.900,1.38430E-4,489,0.00
15.950,1.38430E-4,489,0.00
16.000,1.38430E-4,489,0.00
16.050,1.38430E-4,490,0.00
16.100,1.38430E-4,489,0.00
16.150,1.38430E-4,489,0.00
16.200,1.38430E-4,489,0.00
16.250,1.38430E-4,490,0.00
16.300,1.38430E-4,490,0.00
16.350,1.38430E-4,489,0.00
16.400,1.38430E-4,490,0.00
16.450,1.38430E-4,489,0.00
16.500,1.38430E-4,489,0.00
16.550,1.38430E-4,489,0.00
16.600,1.38430E-4,489,0.00
16.650,1.38430E-4,490,0.00
16.700,1.38430E-4,489,0.00
16.750,1.38430E-4,490,0.00
16.800,1.38430E-4,489,0.00
16.850,1.38430E-4,490,0.00
16.900,1.38430E-4,489,0.00
16.950,1.38430E-4,489,0.00
17.000,1.38430E-4,489,0.00
17.050,1.38430E-4,490,0.00
17.100,1.38430E-4,489,0.00
17.150,1.38430E-4,489,0.00
17.200,1.38430E-4,489,0.00
17.250,1.38430E-4,489,0.00
17.300,1.38430E-4,489,0.00
17.350,1.38430E-4,488,0.00
17.400,1.38430E-4,489,0.00
17.450,1.38430E-4,489,0.00
17.500,1.38430E-4,489,0.00
17.550,1.38430E-4,488,0.00
17.600,1.38430E-4,489,0.00
17.650,1.38430E-4,489,0.00
17.700,1.38430E-4,489,0.00
17.750,1.38430E-4,489,0.13
17.800,1.38430E-4,490,0.25
17.850,1.39065E-4,490,0.25
17.900,1.39065E-4,491,0.25
17.950,1.39065E-4,492,0.25
18.000,1.39700E-4,494,0.38
18.050,1.39700E-4,496,0.38
18.100,1.40335E-4,498,0.38
18.150,1.40335E-4,499,0.38
18.200,1.40970E-4,500,0.25
