"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1","Fuerza (N) Serie Nº 1","Velocidad (mm/min) Serie Nº 1"
12.700,6.15950E-5,88,0.25
12.750,6.15950E-5,87,0.25
12.800,6.15950E-5,88,0.25
12.850,6.22300E-5,88,0.38
12.900,6.22300E-5,89,0.38
12.950,6.28650E-5,88,0.25
13.000,6.28650E-5,90,0.13
13.050,6.28650E-5,90,0.13
13.100,6.28650E-5,90,0.25
13.150,6.35000E-5,89,0.25
13.200,6.35000E-5,91,0.25
13.250,6.35000E-5,91,0.25
13.300,6.41350E-5,91,0.38
13.350,6.41350E-5,92,0.38
13.400,6.47700E-5,92,0.25
13.450,6.47700E-5,93,0.13
13.500,6.47700E-5,92,0.00
13.550,6.47700E-5,93,0.00
13.600,6.47700E-5,92,0.00
13.650,6.47700E-5,92,0.13
13.700,6.47700E-5,92,0.25
13.750,6.54050E-5,93,0.38
13.800,6.54050E-5,93,0.38
13.850,6.60400E-5,94,0.25
13.900,6.60400E-5,94,0.25
13.950,6.60400E-5,95,0.25
14.000,6.66750E-5,94,0.25
14.050,6.66750E-5,95,0.13
14.100,6.66750E-5,95,0.13
14.150,6.66750E-5,95,0.25
14.200,6.73100E-5,96,0.38
14.250,6.73100E-5,96,0.38
14.300,6.79450E-5,97,0.38
14.350,6.79450E-5,98,0.38
14.400,6.85800E-5,97,0.38
14.450,6.85800E-5,98,0.38
14.500,6.92150E-5,99,0.38
14.550,6.92150E-5,99,0.38
14.600,6.98500E-5,99,0.25
14.650,6.98500E-5,100,0.25
14.700,6.98500E-5,100,0.25
14.750,7.04850E-5,101,0.25
14.800,7.04850E-5,102,0.25
14.850,7.04850E-5,101,0.25
14.900,7.11200E-5,102,0.25
14.950,7.11200E-5,102,0.13
15.000,7.11200E-5,102,0.13
15.050,7.11200E-5,102,0.25
15.100,7.17550E-5,102,0.25
15.150,7.17550E-5,103,0.13
15.200,7.17550E-5,102,0.13
15.250,7.17550E-5,102,0.25
15.300,7.23900E-5,104,0.25
15.350,7.23900E-5,103,0.25
15.400,7.23900E-5,104,0.25
15.450,7.30250E-5,105,0.25
15.500,7.30250E-5,105,0.25
15.550,7.30250E-5,104,0.25
15.600,7.36600E-5,105,0.25
